Zip,State,City,Region,District
15490,PA,"White, PA",East,District #13
15492,PA,"Wickhaven, PA",East,District #13
15501,PA,"Somerset, PA",East,District #13
15502,PA,"Hidden Valley, PA",East,District #13
15510,PA,"Somerset, PA",East,District #13
15520,PA,"Acosta, PA",East,District #13
15521,PA,"Alum Bank, PA",East,District #13
15522,PA,"Bedford, PA",East,District #13
15530,PA,"Berlin, PA",East,District #13
15531,PA,"Boswell, PA",East,District #13
15532,PA,"Boynton, PA",East,District #13
15534,PA,"Buffalo Mills, PA",East,District #13
15535,PA,"Clearville, PA",East,District #13
15537,PA,"Everett, PA",East,District #13
15538,PA,"Fairhope, PA",East,District #13
15539,PA,"Fishertown, PA",East,District #13
15540,PA,"Fort Hill, PA",East,District #13
15541,PA,"Friedens, PA",East,District #13
15542,PA,"Garrett, PA",East,District #13
15544,PA,"Gray, PA",East,District #13
15545,PA,"Hyndman, PA",East,District #13
15546,PA,"Jenners, PA",East,District #13
15547,PA,"Jennerstown, PA",East,District #13
15548,PA,"Kantner, PA",East,District #13
15549,PA,"Listie, PA",East,District #13
15550,PA,"Manns Choice, PA",East,District #13
15551,PA,"Markleton, PA",East,District #13
15552,PA,"Meyersdale, PA",East,District #13
15553,PA,"New Baltimore, PA",East,District #13
15554,PA,"New Paris, PA",East,District #13
15555,PA,"Quecreek, PA",East,District #13
15557,PA,"Rockwood, PA",East,District #13
15558,PA,"Salisbury, PA",East,District #13
15559,PA,"Schellsburg, PA",East,District #13
15560,PA,"Shanksville, PA",East,District #13
15561,PA,"Sipesville, PA",East,District #13
15562,PA,"Springs, PA",East,District #13
15563,PA,"Stoystown, PA",East,District #13
15564,PA,"Wellersburg, PA",East,District #13
15565,PA,"West Salisbury, PA",East,District #13
15601,PA,"Greensburg, PA",East,District #13
15605,PA,"Greensburg, PA",East,District #13
15606,PA,"Greensburg, PA",East,District #13
15610,PA,"Acme, PA",East,District #13
15611,PA,"Adamsburg, PA",East,District #13
15612,PA,"Alverton, PA",East,District #13
15613,PA,"Apollo, PA",East,District #13
15615,PA,"Ardara, PA",East,District #13
15616,PA,"Armbrust, PA",East,District #13
15617,PA,"Arona, PA",East,District #13
15618,PA,"Avonmore, PA",East,District #13
15619,PA,"Bovard, PA",East,District #13
15620,PA,"Bradenville, PA",East,District #13
15621,PA,"Calumet, PA",East,District #13
15622,PA,"Champion, PA",East,District #13
15623,PA,"Claridge, PA",East,District #13
15624,PA,"Crabtree, PA",East,District #13
15625,PA,"Darragh, PA",East,District #13
15626,PA,"Delmont, PA",East,District #13
15627,PA,"Derry, PA",East,District #13
15628,PA,"Donegal, PA",East,District #13
15629,PA,"East Vandergrift, PA",East,District #13
15631,PA,"Everson, PA",East,District #13
15632,PA,"Export, PA",East,District #13
15633,PA,"Forbes Road, PA",East,District #13
15634,PA,"Grapeville, PA",East,District #13
15635,PA,"Hannastown, PA",East,District #13
15636,PA,"Harrison City, PA",East,District #13
15637,PA,"Herminie, PA",East,District #13
15638,PA,"Hostetter, PA",East,District #13
15639,PA,"Hunker, PA",East,District #13
15640,PA,"Hutchinson, PA",East,District #13
15641,PA,"Hyde Park, PA",East,District #13
15642,PA,"Irwin, PA",East,District #13
15644,PA,"Jeannette, PA",East,District #13
15646,PA,"Jones Mills, PA",East,District #13
15647,PA,"Larimer, PA",East,District #13
15650,PA,"Latrobe, PA",East,District #13
15655,PA,"Laughlintown, PA",East,District #13
15656,PA,"Leechburg, PA",East,District #13
15658,PA,"Ligonier, PA",East,District #13
15660,PA,"Lowber, PA",East,District #13
15661,PA,"Loyalhanna, PA",East,District #13
15662,PA,"Luxor, PA",East,District #13
15663,PA,"Madison, PA",East,District #13
15664,PA,"Mammoth, PA",East,District #13
15665,PA,"Manor, PA",East,District #13
15666,PA,"Mount Pleasant, PA",East,District #13
15668,PA,"Murrysville, PA",East,District #13
15670,PA,"New Alexandria, PA",East,District #13
15671,PA,"New Derry, PA",East,District #13
15672,PA,"New Stanton, PA",East,District #13
15673,PA,"North Apollo, PA",East,District #13
15674,PA,"Norvelt, PA",East,District #13
15675,PA,"Penn, PA",East,District #13
15676,PA,"Pleasant Unity, PA",East,District #13
15677,PA,"Rector, PA",East,District #13
15678,PA,"Rillton, PA",East,District #13
15679,PA,"Ruffs Dale, PA",East,District #13
15680,PA,"Salina, PA",East,District #13
15681,PA,"Saltsburg, PA",East,District #13
15682,PA,"Schenley, PA",East,District #13
15683,PA,"Scottdale, PA",East,District #13
15684,PA,"Slickville, PA",East,District #13
15685,PA,"Southwest, PA",East,District #13
15686,PA,"Spring Church, PA",East,District #13
15687,PA,"Stahlstown, PA",East,District #13
15688,PA,"Tarrs, PA",East,District #13
15689,PA,"United, PA",East,District #13
15690,PA,"Vandergrift, PA",East,District #13
15691,PA,"Wendel, PA",East,District #13
15692,PA,"Westmoreland City, PA",East,District #13
15693,PA,"Whitney, PA",East,District #13
15695,PA,"Wyano, PA",East,District #13
15696,PA,"Youngstown, PA",East,District #13
15697,PA,"Youngwood, PA",East,District #13
15698,PA,"Yukon, PA",East,District #13
15701,PA,"Indiana, PA",East,District #13
15705,PA,"Indiana, PA",East,District #13
15710,PA,"Alverda, PA",East,District #13
15711,PA,"Anita, PA",East,District #13
15712,PA,"Arcadia, PA",East,District #13
15713,PA,"Aultman, PA",East,District #13
15714,PA,"Northern Cambria, PA",East,District #13
15715,PA,"Big Run, PA",East,District #13
15716,PA,"Black Lick, PA",East,District #13
15717,PA,"Blairsville, PA",East,District #13
15720,PA,"Brush Valley, PA",East,District #13
15721,PA,"Burnside, PA",East,District #13
15722,PA,"Carrolltown, PA",East,District #13
15723,PA,"Chambersville, PA",East,District #13
15724,PA,"Cherry Tree, PA",East,District #13
15725,PA,"Clarksburg, PA",East,District #13
15727,PA,"Clune, PA",East,District #13
15728,PA,"Clymer, PA",East,District #13
15729,PA,"Commodore, PA",East,District #13
15730,PA,"Coolspring, PA",East,District #13
15731,PA,"Coral, PA",East,District #13
15732,PA,"Creekside, PA",East,District #13
15733,PA,"De Lancey, PA",East,District #13
15734,PA,"Dixonville, PA",East,District #13
15736,PA,"Elderton, PA",East,District #13
15737,PA,"Elmora, PA",East,District #13
15738,PA,"Emeigh, PA",East,District #13
15739,PA,"Ernest, PA",East,District #13
15741,PA,"Gipsy, PA",East,District #13
15742,PA,"Glen Campbell, PA",East,District #13
15744,PA,"Hamilton, PA",East,District #13
15745,PA,"Heilwood, PA",East,District #13
15746,PA,"Hillsdale, PA",East,District #13
15747,PA,"Home, PA",East,District #13
15748,PA,"Homer City, PA",East,District #13
15750,PA,"Josephine, PA",East,District #13
15752,PA,"Kent, PA",East,District #13
15753,PA,"La Jose, PA",East,District #13
15754,PA,"Lucernemines, PA",East,District #13
15756,PA,"Mc Intyre, PA",East,District #13
15757,PA,"Mahaffey, PA",East,District #13
15758,PA,"Marchand, PA",East,District #13
15759,PA,"Marion Center, PA",East,District #13
15760,PA,"Marsteller, PA",East,District #13
15761,PA,"Mentcle, PA",East,District #13
15762,PA,"Nicktown, PA",East,District #13
15763,PA,"Northpoint, PA",East,District #13
15764,PA,"Oliveburg, PA",East,District #13
15765,PA,"Penn Run, PA",East,District #13
15767,PA,"Punxsutawney, PA",East,District #13
15770,PA,"Ringgold, PA",East,District #13
15771,PA,"Rochester Mills, PA",East,District #13
15772,PA,"Rossiter, PA",East,District #13
15773,PA,"Saint Benedict, PA",East,District #13
15774,PA,"Shelocta, PA",East,District #13
15775,PA,"Spangler, PA",East,District #13
15776,PA,"Sprankle Mills, PA",East,District #13
15777,PA,"Starford, PA",East,District #13
15778,PA,"Timblin, PA",East,District #13
15779,PA,"Torrance, PA",East,District #13
15780,PA,"Valier, PA",East,District #13
15781,PA,"Walston, PA",East,District #13
15783,PA,"West Lebanon, PA",East,District #13
15784,PA,"Worthville, PA",East,District #13
15801,PA,"Du Bois, PA",East,District #13
15821,PA,"Benezett, PA",East,District #13
15822,PA,"Brandy Camp, PA",East,District #13
15823,PA,"Brockport, PA",East,District #13
15824,PA,"Brockway, PA",East,District #13
15825,PA,"Brookville, PA",East,District #13
15827,PA,"Byrnedale, PA",East,District #13
15828,PA,"Clarington, PA",East,District #13
15829,PA,"Corsica, PA",East,District #13
15831,PA,"Dagus Mines, PA",East,District #13
15832,PA,"Driftwood, PA",East,District #13
15840,PA,"Falls Creek, PA",East,District #13
15841,PA,"Force, PA",East,District #13
15845,PA,"Johnsonburg, PA",East,District #13
15846,PA,"Kersey, PA",East,District #13
15847,PA,"Knox Dale, PA",East,District #13
15848,PA,"Luthersburg, PA",East,District #13
15849,PA,"Penfield, PA",East,District #13
15851,PA,"Reynoldsville, PA",East,District #13
15853,PA,"Ridgway, PA",East,District #13
15856,PA,"Rockton, PA",East,District #13
15857,PA,"Saint Marys, PA",East,District #13
15860,PA,"Sigel, PA",East,District #13
15861,PA,"Sinnamahoning, PA",East,District #13
15863,PA,"Stump Creek, PA",East,District #13
15864,PA,"Summerville, PA",East,District #13
15865,PA,"Sykesville, PA",East,District #13
15866,PA,"Troutville, PA",East,District #13
15868,PA,"Weedville, PA",East,District #13
15870,PA,"Wilcox, PA",East,District #13
15901,PA,"Johnstown, PA",East,District #13
15902,PA,"Johnstown, PA",East,District #13
15904,PA,"Johnstown, PA",East,District #13
15905,PA,"Johnstown, PA",East,District #13
15906,PA,"Johnstown, PA",East,District #13
15907,PA,"Johnstown, PA",East,District #13
15909,PA,"Johnstown, PA",East,District #13
15915,PA,"Johnstown, PA",East,District #13
15920,PA,"Armagh, PA",East,District #13
15921,PA,"Beaverdale, PA",East,District #13
15922,PA,"Belsano, PA",East,District #13
15923,PA,"Bolivar, PA",East,District #13
15924,PA,"Cairnbrook, PA",East,District #13
15925,PA,"Cassandra, PA",East,District #13
15926,PA,"Central City, PA",East,District #13
15927,PA,"Colver, PA",East,District #13
15928,PA,"Davidsville, PA",East,District #13
15929,PA,"Dilltown, PA",East,District #13
15930,PA,"Dunlo, PA",East,District #13
15931,PA,"Ebensburg, PA",East,District #13
15934,PA,"Elton, PA",East,District #13
15935,PA,"Hollsopple, PA",East,District #13
15936,PA,"Hooversville, PA",East,District #13
15937,PA,"Jerome, PA",East,District #13
15938,PA,"Lilly, PA",East,District #13
15940,PA,"Loretto, PA",East,District #13
15942,PA,"Mineral Point, PA",East,District #13
15943,PA,"Nanty Glo, PA",East,District #13
15944,PA,"New Florence, PA",East,District #13
15945,PA,"Parkhill, PA",East,District #13
15946,PA,"Portage, PA",East,District #13
15948,PA,"Revloc, PA",East,District #13
15949,PA,"Robinson, PA",East,District #13
15951,PA,"Saint Michael, PA",East,District #13
15952,PA,"Salix, PA",East,District #13
15953,PA,"Seanor, PA",East,District #13
15954,PA,"Seward, PA",East,District #13
15955,PA,"Sidman, PA",East,District #13
15956,PA,"South Fork, PA",East,District #13
15957,PA,"Strongstown, PA",East,District #13
15958,PA,"Summerhill, PA",East,District #13
15959,PA,"Tire Hill, PA",East,District #13
15960,PA,"Twin Rocks, PA",East,District #13
15961,PA,"Vintondale, PA",East,District #13
15962,PA,"Wilmore, PA",East,District #13
15963,PA,"Windber, PA",East,District #13
16001,PA,"Butler, PA",East,District #13
16002,PA,"Butler, PA",East,District #13
16003,PA,"Butler, PA",East,District #13
16016,PA,"Boyers, PA",East,District #13
16017,PA,"Boyers, PA",East,District #13
16018,PA,"Boyers, PA",East,District #13
16020,PA,"Boyers, PA",East,District #13
16021,PA,"Branchton, PA",East,District #13
16022,PA,"Bruin, PA",East,District #13
16023,PA,"Cabot, PA",East,District #13
16024,PA,"Callery, PA",East,District #13
16025,PA,"Chicora, PA",East,District #13
16027,PA,"Connoquenessing, PA",East,District #13
16028,PA,"East Brady, PA",East,District #13
16029,PA,"East Butler, PA",East,District #13
16030,PA,"Eau Claire, PA",East,District #13
16033,PA,"Evans City, PA",East,District #13
16034,PA,"Fenelton, PA",East,District #13
16035,PA,"Forestville, PA",East,District #13
16036,PA,"Foxburg, PA",East,District #13
16037,PA,"Harmony, PA",East,District #13
16038,PA,"Harrisville, PA",East,District #13
16039,PA,"Herman, PA",East,District #13
16040,PA,"Hilliards, PA",East,District #13
16041,PA,"Karns City, PA",East,District #13
16045,PA,"Lyndora, PA",East,District #13
16046,PA,"Mars, PA",East,District #13
16048,PA,"North Washington, PA",East,District #13
16049,PA,"Parker, PA",East,District #13
16050,PA,"Petrolia, PA",East,District #13
16051,PA,"Portersville, PA",East,District #13
16052,PA,"Prospect, PA",East,District #13
16053,PA,"Renfrew, PA",East,District #13
16054,PA,"Saint Petersburg, PA",East,District #13
16055,PA,"Sarver, PA",East,District #13
16056,PA,"Saxonburg, PA",East,District #13
16057,PA,"Slippery Rock, PA",East,District #13
16058,PA,"Turkey City, PA",East,District #13
16059,PA,"Valencia, PA",East,District #13
16061,PA,"West Sunbury, PA",East,District #13
16063,PA,"Zelienople, PA",East,District #13
16066,PA,"Cranberry Township, PA",East,District #13
16101,PA,"New Castle, PA",East,District #13
16102,PA,"New Castle, PA",East,District #13
16103,PA,"New Castle, PA",East,District #13
16105,PA,"New Castle, PA",East,District #13
16107,PA,"New Castle, PA",East,District #13
16108,PA,"New Castle, PA",East,District #13
16110,PA,"Adamsville, PA",East,District #13
16111,PA,"Atlantic, PA",East,District #13
16112,PA,"Bessemer, PA",East,District #13
16115,PA,"Darlington, PA",East,District #13
16116,PA,"Edinburg, PA",East,District #13
16117,PA,"Ellwood City, PA",East,District #13
16120,PA,"Enon Valley, PA",East,District #13
16123,PA,"Fombell, PA",East,District #13
16130,PA,"Hadley, PA",East,District #13
16131,PA,"Hartstown, PA",East,District #13
16132,PA,"Hillsville, PA",East,District #13
16134,PA,"Jamestown, PA",East,District #13
16136,PA,"Koppel, PA",East,District #13
16140,PA,"New Bedford, PA",East,District #13
16141,PA,"New Galilee, PA",East,District #13
16142,PA,"New Wilmington, PA",East,District #13
16143,PA,"Pulaski, PA",East,District #13
16151,PA,"Sheakleyville, PA",East,District #13
16155,PA,"Villa Maria, PA",East,District #13
16156,PA,"Volant, PA",East,District #13
16157,PA,"Wampum, PA",East,District #13
16160,PA,"West Pittsburg, PA",East,District #13
16172,PA,"New Wilmington, PA",East,District #13
